"YearWeek","ExcludedCases","PendingCases","ConfirmedCases"
"202018",15,0,0
"202019",8,0,0
"202020",14,0,0
"202021",7,0,1
"202022",12,0,0
"202023",13,0,0
"202024",11,0,0
"202025",14,0,0
"202026",9,0,1
"202027",7,0,0
"202028",6,0,0
"202029",6,0,0
"202030",7,0,0
"202031",10,0,0
"202032",7,0,0
"202033",13,0,0
"202034",11,0,0
"202035",8,0,0
"202036",11,0,0
"202037",10,0,0
"202038",9,0,0
"202039",14,0,0
"202040",9,0,0
"202041",6,0,0
"202042",10,0,0
"202043",12,0,0
"202044",11,0,0
"202045",6,0,0
"202046",12,0,0
"202047",10,0,0
"202048",8,0,0
"202049",9,0,0
"202050",10,0,0
"202051",14,0,0
"202052",8,0,0
"202053",10,0,1
"202101",9,0,0
"202102",15,0,0
"202103",12,0,0
"202104",6,0,0
"202105",13,0,0
"202106",12,0,0
"202107",11,0,0
"202108",4,0,0
"202109",8,0,0
"202110",11,0,0
"202111",2,0,0
"202112",7,0,1
"202113",7,0,0
"202114",3,0,0
"202115",4,0,0
"202116",7,0,0
"202117",11,0,0
"202118",6,0,0
"202119",14,0,0
"202120",4,0,0
"202121",3,0,0
"202122",2,0,0
"202123",5,0,0
"202124",3,0,0
"202125",3,0,0
"202126",4,0,0
"202127",3,0,0
"202128",9,0,0
"202129",3,0,0
"202130",3,0,0
"202131",5,0,0
"202132",1,0,0
"202133",3,0,0
"202134",1,0,0
"202135",4,0,0
"202136",3,0,0
"202137",3,0,0
"202138",3,0,0
"202139",4,0,0
"202140",3,0,0
"202141",4,0,0
"202142",2,0,0
"202143",7,0,0
"202144",2,0,0
"202145",5,0,0
"202146",3,0,0
"202147",1,0,0
"202148",2,0,0
"202149",2,0,0
"202150",3,0,0
"202151",3,0,0
"202152",2,0,0
"202201",8,0,0
"202202",4,0,0
"202203",3,0,0
"202204",4,0,0
"202205",3,0,0
"202206",4,0,0
"202207",4,0,0
"202208",0,0,0
"202209",1,0,0
"202210",4,0,0
"202211",2,0,0
"202212",0,0,0
"202213",2,0,0
"202214",2,0,0
"202215",2,0,0
"202216",2,0,0
"202217",3,0,0
"202218",2,0,0
"202219",0,0,0
"202220",3,0,0
"202221",2,0,0
"202222",0,0,0
"202223",0,0,0
"202224",0,0,0
"202225",0,0,0
"202226",2,0,0
"202227",1,0,0
"202228",2,0,0
"202229",4,0,0
"202230",1,0,0
"202231",1,0,0
"202232",0,0,0
"202233",2,0,0
"202234",0,0,0
"202235",0,0,0
"202236",3,0,0
"202237",1,0,0
"202238",1,0,0
"202239",3,0,0
"202240",4,0,0
"202241",6,0,1
"202242",4,0,0
"202243",6,0,0
"202244",5,0,2
"202245",4,0,1
"202246",6,0,6
"202247",7,0,1
"202248",10,0,3
"202249",4,0,0
"202250",8,0,4
"202251",1,0,2
"202252",10,0,2
"202301",5,0,0
"202302",6,0,1
"202303",7,0,2
"202304",5,0,8
"202305",6,0,7
"202306",2,0,7
"202307",1,0,5
"202308",2,0,3
"202309",5,0,5
"202310",9,0,2
"202311",3,0,3
"202312",4,0,3
"202313",7,0,5
"202314",3,0,9
"202315",5,0,22
"202316",6,0,18
"202317",9,0,23
"202318",10,0,17
"202319",8,0,18
"202320",4,0,26
"202321",13,0,26
"202322",11,0,23
"202323",7,0,31
"202324",8,0,28
"202325",11,0,21
"202326",13,0,26
"202327",4,0,28
"202328",10,0,30
"202329",7,0,25
"202330",8,0,25
"202331",8,0,28
"202332",8,0,26
"202333",8,0,38
"202334",12,0,37
"202335",8,0,54
"202336",9,0,25
"202337",8,0,39
"202338",13,0,50
"202339",18,0,37
"202340",11,0,35
"202341",11,0,25
"202342",8,0,27
"202343",11,0,21
"202344",6,0,20
"202345",7,0,15
"202346",10,0,17
"202347",13,0,11
"202348",10,0,19
"202349",3,0,12
"202350",12,0,21
"202351",6,0,18
"202352",14,0,32
"202401",8,0,40
"202402",13,0,40
"202403",14,0,35
"202404",12,0,34
"202405",8,0,31
"202406",17,0,34
"202407",12,0,42
"202408",5,0,38
"202409",8,0,36
"202410",16,0,22
"202411",9,0,31
"202412",15,0,20
"202413",12,0,18
"202414",9,0,27
"202415",10,0,16
"202416",8,0,36
"202417",13,0,30
"202418",12,0,40
"202419",11,0,49
"202420",2,0,27
"202421",4,0,34
"202422",11,0,43
"202423",8,0,36
"202424",10,0,67
"202425",19,0,71
"202426",19,0,67
"202427",13,0,59
"202428",17,0,54
"202429",16,0,56
"202430",8,0,45
"202431",18,0,38
"202432",4,0,38
"202433",10,0,48
"202434",5,0,34
"202435",13,1,30
"202436",11,2,21
"202437",3,10,8
