Epoch,Learning Rate,Loss
1,0.01,10212.6240234375
2,0.01,3.0419242801600565e+21
3,0.01,1.216767121174823e+18
4,0.01,3.9515117279081816e+26
5,0.01,1.5892113213880657e+23
6,0.01,1.526279101059101e+23
7,0.01,1.4658385422599752e+23
8,0.01,1.4077907459428714e+23
9,0.01,1.3520425776674955e+23
10,0.001,1.2985011732095312e+23
11,0.001,1.2470806939600807e+23
12,0.001,1.2420971907564176e+23
13,0.001,1.2371337736070926e+23
14,0.001,1.2321906226560907e+23
15,0.001,1.2272662066795387e+23
16,0.001,1.22236205690131e+23
17,0.001,1.2174779031054266e+23
18,0.001,1.2126124842839932e+23
19,0.001,1.2077673316608829e+23
20,0.0001,1.2029407338682374e+23
21,0.0001,1.1981337717699672e+23
22,0.0001,1.1976547689136001e+23
23,0.0001,1.1971758561292255e+23
24,0.0001,1.1966964029128956e+23
25,0.0001,1.1962180305604764e+23
26,0.0001,1.1957393879920794e+23
27,0.0001,1.1952611057116527e+23
28,0.0001,1.1947836340791589e+23
29,0.0001,1.1943054418707247e+23
30,1e-05,1.1938277900942457e+23
