YearWeek,ExcludedCases,PendingCases,ConfirmedCases,AverageTemperature,Year,Week,Season
201001,39,0,16,15.896714153011231,2010,1,4
201002,47,0,7,15.268645487696377,2010,2,4
201003,37,0,7,16.061508115835817,2010,3,4
201004,29,0,10,16.943759223010712,2010,4,4
201005,23,0,7,15.193485780746911,2010,5,4
201006,16,0,5,15.200411987388632,2010,6,4
201007,21,0,1,17.020671548712766,2010,7,4
201008,21,0,1,16.215803251225847,2010,8,4
201009,12,0,3,14.985803925005548,2010,9,1
201010,10,0,1,16.004748143394025,2010,10,1
201011,11,0,4,15.00568019586316,2010,11,1
201012,8,0,2,15.01027792397293,2010,12,1
201013,7,0,0,15.724879737976783,2010,13,1
201014,4,0,4,13.576547010620512,2010,14,1
201015,6,0,1,13.771819211632842,2010,15,1
201016,8,0,4,14.941359303772463,2010,16,1
201017,10,0,6,14.497725501546574,2010,17,1
201018,6,0,15,15.831713743343837,2010,18,1
201019,14,0,11,14.616352124094911,2010,19,1
201020,15,0,16,14.118982287148391,2010,20,1
201021,5,0,12,17.003844546272802,2010,21,1
201022,7,0,12,15.319329265732277,2010,22,1
201023,8,0,10,15.619543559774296,2010,23,2
201024,7,0,9,14.13417695774048,2010,24,2
201025,12,0,15,15.021452208296314,2010,25,2
201026,13,0,29,15.683667311398924,2010,26,2
201027,20,0,21,14.42866093313432,2010,27,2
201028,18,0,18,15.962262317769856,2010,28,2
201029,18,0,40,14.99283539837294,2010,29,2
201030,24,0,29,15.308690127366033,2010,30,2
201031,32,0,60,15.005587053797475,2010,31,2
201032,28,0,58,17.46648163940337,2010,32,2
201033,38,0,56,15.607616019024062,2010,33,2
201034,32,0,46,14.570312103673658,2010,34,2
201035,45,0,46,16.45747773360031,2010,35,2
201036,38,0,51,14.42099896039366,2010,36,3
201037,26,0,42,15.857615994237,2010,37,3
201038,22,0,22,13.695992064220032,2010,38,3
201039,31,0,23,14.334385928068938,2010,39,3
201040,23,0,17,15.866343001704056,2010,40,3
201041,22,0,10,16.414858134697905,2010,41,3
201042,8,0,17,15.854669624760026,2010,42,3
201043,16,0,18,15.57456285004938,2010,43,3
201044,17,0,11,15.396017225715893,2010,44,3
201045,20,0,7,14.248349410784202,2010,45,3
201046,22,0,8,15.053092451874006,2010,46,3
201047,18,0,9,15.358363148426008,2010,47,3
201048,20,0,9,16.922189404721795,2010,48,3
201049,22,0,10,16.254750727188423,2010,49,4
201050,24,0,12,14.19415754137431,2010,50,4
201051,21,0,15,16.32734692524892,2010,51,4
201052,22,0,22,15.664245934554891,2010,52,4
201101,45,0,57,15.418471473782333,2011,1,4
201102,55,0,103,16.753135022046244,2011,2,4
201103,105,0,194,17.218523514818408,2011,3,4
201104,137,0,205,17.16486937055574,2011,4,4
