YearWeek,ExcludedCases,PendingCases,ConfirmedCases,AverageTemperature
201001,39,0,16,15.896714153011231
201002,47,0,7,15.268645487696377
201003,37,0,7,16.061508115835817
201004,29,0,10,16.943759223010712
201005,23,0,7,15.193485780746911
201006,16,0,5,15.200411987388632
201007,21,0,1,17.020671548712766
201008,21,0,1,16.215803251225847
201009,12,0,3,14.985803925005548
201010,10,0,1,16.004748143394025
201011,11,0,4,15.00568019586316
201012,8,0,2,15.01027792397293
201013,7,0,0,15.724879737976783
201014,4,0,4,13.576547010620512
201015,6,0,1,13.771819211632842
201016,8,0,4,14.941359303772463
201017,10,0,6,14.497725501546574
201018,6,0,15,15.831713743343837
201019,14,0,11,14.616352124094911
201020,15,0,16,14.118982287148391
201021,5,0,12,17.003844546272802
201022,7,0,12,15.319329265732277
201023,8,0,10,15.619543559774296
201024,7,0,9,14.13417695774048
201025,12,0,15,15.021452208296314
201026,13,0,29,15.683667311398924
201027,20,0,21,14.42866093313432
201028,18,0,18,15.962262317769856
201029,18,0,40,14.99283539837294
201030,24,0,29,15.308690127366033
201031,32,0,60,15.005587053797475
201032,28,0,58,17.46648163940337
201033,38,0,56,15.607616019024062
201034,32,0,46,14.570312103673658
201035,45,0,46,16.45747773360031
201036,38,0,51,14.42099896039366
201037,26,0,42,15.857615994237
201038,22,0,22,13.695992064220032
201039,31,0,23,14.334385928068938
201040,23,0,17,15.866343001704056
201041,22,0,10,16.414858134697905
201042,8,0,17,15.854669624760026
201043,16,0,18,15.57456285004938
201044,17,0,11,15.396017225715893
201045,20,0,7,14.248349410784202
201046,22,0,8,15.053092451874006
201047,18,0,9,15.358363148426008
201048,20,0,9,16.922189404721795
201049,22,0,10,16.254750727188423
201050,24,0,12,14.19415754137431
201051,21,0,15,16.32734692524892
201052,22,0,22,15.664245934554891
201101,45,0,57,15.418471473782333
201102,55,0,103,16.753135022046244
201103,105,0,194,17.218523514818408
201104,137,0,205,17.16486937055574
201105,141,0,182,15.440436987333984
201106,175,0,142,16.01650739382249
201107,163,0,76,16.70304846019435
201108,145,0,55,17.393395415030227
201109,118,0,20,15.984741309179665
201110,115,0,10,16.32432182947822
201111,80,0,7,15.44971109125309
201112,64,0,6,15.40590470029553
201113,49,0,7,17.46070240588748
201114,37,0,2,18.050481871181187
201115,34,0,6,16.66829698014711
201116,29,0,1,17.789905258736553
201117,17,0,4,17.194073645009244
201118,18,0,4,16.233383124473573
201119,14,0,1,17.28596374370419
201120,12,0,4,18.50866996377883
201121,12,0,1,16.98087261731999
201122,11,0,0,18.62740757136103
201123,10,0,2,14.48908407057436
201124,8,0,2,17.97679693815641
201125,6,0,3,17.288006761136444
201126,6,0,0,16.948017601549488
201127,10,0,3,17.38485098766794
201128,13,0,2,15.351586555648629
201129,8,0,4,17.165548841529088
201130,12,0,5,17.78839855999543
201131,8,0,2,18.95524529234228
201132,9,0,6,17.0051462884442
201133,5,0,7,16.760988162941747
201134,11,0,6,17.11378998136748
201135,11,0,1,18.577014401771173
201136,9,0,1,18.04295456455412
201137,16,0,1,17.269663980494
201138,8,0,4,18.397912346740995
201139,15,0,5,18.066943192342283
201140,21,0,10,19.023731362893734
201141,26,0,5,17.438254007850094
201142,23,0,8,17.89786568449628
201143,40,0,11,17.918640407328496
201144,28,0,18,16.932454341695134
201145,14,0,5,18.777310296258435
201146,29,0,14,18.82746602074035
201147,22,0,15,18.656744934569524
201148,26,0,19,18.50226507391852
201149,24,0,27,17.406702194609853
201150,42,0,35,18.48664834326151
201151,39,0,56,18.649799878866705
201152,59,0,111,18.275457855538455
201201,86,0,168,19.001670142460668
201202,111,0,130,19.652227440307826
201203,102,0,125,21.219583214070415
201204,86,0,105,19.59319585505833
201205,94,0,121,19.761389162315854
201206,72,0,65,19.514613585193526
201207,65,0,60,17.755509015027254
201208,49,0,46,19.73298708424368
201209,60,0,53,19.90495189900053
201210,40,0,32,22.39318453091139
201211,48,0,34,19.822802183011586
201212,32,0,26,20.401931219492923
201213,45,0,19,20.150892836820667
201214,43,0,13,19.102147298272985
201215,17,0,17,21.498868879774136
201216,27,0,27,21.193199827312498
201217,19,0,15,21.317519471035368
201218,27,0,17,19.702320798564184
201219,33,0,13,22.099723293661626
201220,21,0,29,19.38029864929985
201221,22,0,26,21.454227535259
201222,33,0,17,23.14304679663531
201223,24,0,23,20.04727557506125
201224,24,0,40,20.556734899955767
201225,37,0,44,21.307904724012783
201226,48,0,57,20.789998434175548
201227,30,0,71,19.828031386592215
201228,34,0,46,21.525568732963418
201229,47,0,30,20.47070972197447
201230,34,0,22,22.082613543878946
201231,26,0,19,20.765604556553143
201232,18,0,22,23.31097087334767
201233,19,0,12,21.05379085353708
201234,19,0,9,21.59099030721083
201235,14,0,13,22.80257671832936
201236,11,0,1,20.834202862068924
201237,11,0,3,22.368534790650195
201238,13,0,3,23.524225287871676
201239,12,0,6,20.685606976571208
201240,13,0,3,22.553731747207927
201241,22,0,0,22.704988360467233
201242,7,0,1,23.302936115539307
201243,17,0,0,21.3601702104271
201244,17,0,2,21.352671985764093
201245,21,0,1,23.271077842008452
201246,18,0,1,23.12212862716793
201247,13,0,2,23.1516444818238
201248,9,0,0,23.323607518518088
201249,10,0,1,22.37314226498581
201250,21,0,0,23.361428361268487
201251,10,0,1,23.498254814949355
201252,16,0,4,22.56683860116749
201301,23,0,5,23.907038295192017
201302,23,0,4,22.31790955462077
201303,13,0,6,24.24177433800043
201304,21,0,18,22.686546736682462
201305,21,0,10,24.524320688195427
201306,20,0,12,24.97183934100357
201307,21,0,16,23.068569121187636
201308,20,0,31,24.928635246326852
201309,27,0,17,24.45404772156222
201310,16,0,24,24.93933463216339
201311,25,0,29,26.09007513236604
201312,27,0,21,24.023901711252407
201313,33,0,43,23.591561340440972
201314,36,0,46,23.531790752716127
201315,37,0,41,23.6815025749194
201316,46,0,26,24.49621882801392
201317,40,0,40,24.990480189787853
201318,25,0,45,24.99665241161409
201319,34,0,38,25.6070296981723
201320,12,0,26,24.85273317786639
201321,29,0,41,26.35315019999801
201322,22,0,36,24.694844126454942
201323,21,0,38,27.73955496313472
201324,11,0,35,25.70493798116232
201325,13,0,23,24.281997913833237
201326,23,0,21,24.128147809040613
201327,13,0,20,25.74139755919712
201328,17,0,11,25.095347195480297
201329,11,0,7,26.09269531175044
201330,8,0,11,25.9118172790841
201331,8,0,9,25.42563557870589
201332,12,0,7,24.71155561014657
201333,6,0,11,24.103386940381313
201334,7,0,12,25.231604049852365
201335,8,0,10,26.594402633095065
201336,11,0,11,26.011982419754
201337,17,0,13,24.61203473376402
201338,12,0,4,26.0908392751794
201339,11,0,5,26.36286056590926
201340,9,0,2,25.153570586831496
201341,16,0,10,26.251037965830367
201342,14,0,5,26.215406415183047
201343,21,0,5,25.07411223575863
201344,13,0,6,26.63475473078974
201345,14,0,5,26.8976367336619
201346,19,0,6,27.479788287321153
201347,18,0,8,27.510423933032985
201348,24,0,9,25.1388373498932
201349,18,0,12,25.638566514787374
201350,18,0,17,27.15131165876336
201351,29,0,19,27.20994717931912
201352,21,0,26,27.271093751565164
201401,32,0,56,30.668662392766045
201402,44,0,101,27.4467062496567
201403,50,0,100,28.07126621599634
201404,68,0,112,27.949587176161153
201405,70,0,130,27.706861500825955
201406,54,0,159,26.800085841732017
201407,70,0,121,27.934209143717833
201408,67,0,134,26.462299545539203
201409,90,0,143,27.058190990188976
201410,64,0,99,26.85052896656629
201411,69,0,93,27.456922124031237
201412,63,0,53,29.72886202156794
201413,59,0,41,25.586093732552207
201414,57,0,39,28.17877458576799
201415,66,0,21,25.918953994453343
201416,34,0,20,27.09889347010308
201417,32,0,19,28.6989314031094
201418,43,0,24,27.71341629548702
201419,35,0,14,26.61054696871177
201420,27,0,24,27.01214350763063
201421,32,0,19,28.44620043607479
201422,21,0,18,27.0753915256725
201423,25,0,15,28.06137221722113
201424,19,0,23,27.92964093779249
201425,33,0,18,27.27162422053238
201426,22,0,15,30.106324127713044
201427,26,0,13,28.635454530955247
201428,26,0,14,26.01554839222915
201429,25,0,19,28.266300763905704
201430,23,0,12,27.457215454617412
201431,16,0,10,29.01059072443154
201432,12,0,4,27.40479212145214
201433,9,0,3,28.12173188866746
201434,6,0,4,28.780611079364338
201435,10,0,2,29.18053446480352
201436,10,0,8,27.153638333827143
201437,10,0,8,28.05858897529149
201438,8,0,6,27.957300370221
201439,15,0,3,27.81807191905777
201440,11,0,2,30.276010862162096
201441,16,0,1,28.954693803091477
201442,16,0,2,27.327983608044992
201443,10,0,1,29.545884979684335
201444,15,0,1,30.78933469989171
201445,8,0,1,29.738799233679742
201446,6,0,0,27.226119477424103
201447,12,0,1,28.30041084076139
201448,14,0,2,30.090711533063786
201449,16,0,0,28.155286388507896
201450,9,0,0,29.345930752522428
201451,11,0,2,29.715900848055057
201452,15,0,2,28.05349179329716
201501,17,0,9,28.93701974950442
201502,14,0,8,25.748367976629584
201503,23,0,10,27.958337886496803
201504,24,0,14,28.723247587570373
201505,23,0,21,27.72112276813112
201506,25,0,24,30.59440746516004
201507,26,0,21,27.52494499440021
201508,20,0,17,28.5081320967963
201509,15,0,28,29.07200737191181
201510,21,0,18,30.375630294824273
201511,24,0,36,27.491585065711156
201512,23,0,41,30.08370118017799
201513,19,0,24,28.92386070017506
201514,20,0,23,27.92520919923996
201515,20,0,29,29.361911535683618
201516,16,0,21,29.091957968126252
201517,20,0,27,28.285771606526428
201518,23,0,21,28.948880779807677
201519,21,0,31,28.486855309088337
201520,22,0,30,28.978776462333784
201521,29,0,29,29.520480002736015
201522,19,0,43,30.43745635549276
201523,23,0,54,27.606714251653
201524,27,0,44,30.97065333626855
201525,20,0,34,26.878622373222218
201526,12,0,27,28.67201528884158
201527,9,0,19,29.40520780149417
201528,15,0,22,29.090972673877065
201529,8,0,7,28.18037149745388
201530,10,0,14,28.588038978049635
201531,10,0,9,28.29625050488051
201532,14,0,6,28.192976893727575
201533,7,0,4,29.62503395882525
201534,10,0,12,29.125537558901705
201535,17,0,8,28.068702688808443
201536,12,0,8,29.654302370634785
201537,10,0,3,29.05509222721058
201538,13,0,1,29.553745036305372
201539,11,0,4,29.36360197052246
201540,8,0,0,27.898068328809213
201541,8,0,1,28.159972510666755
201542,10,0,1,29.46053736711942
201543,5,0,3,29.31670423856206
201544,11,0,4,28.67564351160207
201545,8,0,4,28.772413755669625
201546,15,0,5,29.891292534943897
201547,10,0,3,27.980597517114266
201548,15,0,6,29.077807553914756
201549,13,0,3,28.28705878710545
201550,13,0,8,28.23011150310675
201551,19,0,11,29.50511082511579
201552,18,0,14,29.19029158891125
201601,23,0,30,29.136926142718487
201602,23,0,34,29.587436580666804
